term,language,sightings,offense_level
nip,English,-,Extremely offensive
nips(plural ofnip),English,438 sightings(Recent),-
nitchee(variant ofnitchie),English,5 sightings,Highly offensive
nitchees(plural ofnitchee),English,-,-
nitchie,English,41 sightings(Recent),Highly offensive
nitchies(plural ofnitchie),English,2 sightings,-
nitchy(variant ofnitchie),English,34 sightings,Highly offensive
ocker,English,674 sightings(Recent),Highly offensive
ockers(plural ofocker),English,75 sightings(Recent),-
octaroon(variant ofoctroon),English,"2,911 sightings(Recent)",Highly offensive
octaroons(plural ofoctaroon),English,684 sightings(Recent),-
octroon,English,52 sightings(Recent),Highly offensive
octroons(plural ofoctroon),English,32 sightings(Recent),-
ofay,English,"1,048 sightings(Recent)",Highly offensive
ofays(plural ofofay),English,"1,483 sightings(Recent)",-
oven dodger,English,190 sightings(Recent),Highly offensive
oven dodgers(plural ofoven dodger),English,336 sightings(Recent),-
paddies(plural ofpaddy),English,-,-
paddy,English,326 sightings(Recent),Extremely offensive
paki,English,339 sightings(Recent),Extremely offensive
pakis(plural ofpaki),English,401 sightings(Recent),Extremely offensive
paleface,English,537 sightings(Recent),Moderately offensive
palefaces(plural ofpaleface),English,450 sightings(Recent),Moderately offensive
pancake,English,-,Highly offensive
pancake face(variant ofpancake),English,-,Highly offensive
pancake faces(plural ofpancake face),English,308 sightings(Recent),-
pancakes(plural ofpancake),English,-,-
papisher(variant ofpapist),English,-,-
papishers(plural ofpapisher),English,-,-
papist,English,"1,442 sightings(Recent)",Extremely offensive
papists(plural ofpapist),English,"2,963 sightings(Recent)",Extremely offensive
papoose,English,-,Moderately offensive
papooses(plural ofpapoose),English,146 sightings(Recent),Moderately offensive
pavement ape,English,644 sightings(Recent),Extremely offensive
pavement apes(plural ofpavement ape),English,663 sightings(Recent),-
peckerwood,English,"1,638 sightings(Recent)",Highly offensive
peckerwoods(plural ofpeckerwood),English,"1,310 sightings(Recent)",-
picaninnies(plural ofpickaninny),English,801 sightings(Recent),-
picaninny,English,641 sightings(Recent),-
picaninnys(variant ofpicaninnies),English,15 sightings(Recent),Extremely offensive
piccaninnies(plural ofpiccaninny),English,477 sightings(Recent),-
piccaninny(variant ofpicaninny),English,494 sightings(Recent),-
piccaninnys(plural ofpiccaninny),English,22 sightings(Recent),-
pickaninnies(variant ofpickaninnys),English,910 sightings(Recent),Extremely offensive
pickaninny,English,"2,182 sightings(Recent)",Extremely offensive
pickaninnys(plural ofpickaninny),English,79 sightings,-
pickinninies(plural ofpickinniny),English,25 sightings,-
pickinniny(variant ofpicaninny),English,10 sightings,-
pickinninys(plural ofpickinniny),English,2 sightings,-
piker(variant ofpikey),English,606 sightings(Recent),Highly offensive
pikers(plural ofpiker),English,801 sightings(Recent),-
pikey,English,"3,343 sightings(Recent)",Highly offensive
pikeys(plural ofpikey),English,"1,219 sightings(Recent)",-
piky(variant ofpikey),English,-,Extremely offensive
pineapple nigger,English,21 sightings,Extremely offensive
pineapple niggers(plural ofpineapple nigger),English,-,Extremely offensive
ping pang,English,88 sightings(Recent),Highly offensive
ping pangs(plural ofping pang),English,-,-
pinto,English,-,Highly offensive
pintos(plural ofpinto),English,-,-
pislam(variant ofpisslam),English,-,-
pisslam,English,"2,166 sightings(Recent)",Extremely offensive
plastic paddies(plural ofplastic paddy),English,"1,987 sightings(Recent)",-
plastic paddy,English,"4,571 sightings(Recent)",Extremely offensive
pogue,English,183 sightings(Recent),Moderately offensive
pogues(plural ofpogue),English,-,Mildly offensive
pohm(variant ofpom),English,47 sightings,Highly offensive
pohms(plural ofpohm),English,24 sightings,-
pointy head,English,-,Highly offensive
pointy heads(plural ofpointy head),English,-,-
polack,English,598 sightings(Recent),Highly offensive
polacks(plural ofpolack),English,"1,575 sightings(Recent)",-
pollo,English,-,Extremely offensive
pollos(plural ofpollo),English,-,-
pom,English,-,Extremely offensive
pommie grant(variant ofpom),English,-,Extremely offensive
pommie grants(plural ofpommie grant),English,-,-
pommie(variant ofpom),English,"1,177 sightings(Recent)",Extremely offensive
pommies(plural ofpommie),English,667 sightings(Recent),-
pommy(variant ofpom),English,942 sightings(Recent),Highly offensive
poms(plural ofpom),English,-,-
popolo,English,14 sightings,Extremely offensive
popolos(plural ofpopolo),English,32 sightings(Recent),-
poppadom,English,618 sightings(Recent),Extremely offensive
poppadoms(plural ofpoppadom),English,750 sightings(Recent),-
porch monkey,English,"2,848 sightings(Recent)",Extremely offensive
porch monkeys(plural ofporch monkey),English,"3,284 sightings(Recent)",Extremely offensive
porki(variant ofpaki),English,158 sightings(Recent),Highly offensive
porkistani,English,-,Extremely offensive
powderburn,English,-,Extremely offensive
powderburns(plural ofpowderburn),English,-,-
prairie nigger,English,110 sightings,Extremely offensive
prairie niggers(plural ofprairie nigger),English,13 sightings,Extremely offensive
prod,English,-,Highly offensive
proddy dog(variant ofprod),English,97 sightings(Recent),Highly offensive
proddy dogs(plural ofproddy dog),English,71 sightings(Recent),-
proddywhoddies(plural ofproddywhoddy),English,1 sighting(Recent),-
proddywhoddy(variant ofprod),English,1 sighting,Highly offensive
proddywoddies(plural ofproddywoddy),English,1 sighting,Highly offensive
proddywoddy(variant ofprod),English,2 sightings,Highly offensive
prods(plural ofprod),English,-,-
property,English,-,Extremely offensive
pussies(plural ofpussy),English,-,Moderately offensive
pussy,English,17 sightings,Moderately offensive
quadroon,English,"4,676 sightings(Recent)",Highly offensive
quadroons(plural ofquadroon),English,"1,979 sightings(Recent)",Highly offensive
quashie,English,20 sightings(Recent),Highly offensive
quashies(plural ofquashie),English,2 sightings,-
queen,English,-,Highly offensive
queens(plural ofqueen),English,-,Highly offensive
queer,English,"1,369 sightings(Recent)",Mildly offensive
queers(plural ofqueer),English,"1,103 sightings(Recent)",-
race traitor,English,"2,846 sightings(Recent)",Extremely offensive
race traitors(plural ofrace traitor),English,"1,307 sightings(Recent)",Highly offensive
raghead,English,"3,012 sightings(Recent)",Extremely offensive
ragheads(plural ofraghead),English,"2,405 sightings(Recent)",-
rapefugees,English,-,-
red bone(variant ofyellow bone),English,678 sightings(Recent),Moderately offensive
red bones(plural ofred bone),English,146 sightings(Recent),Moderately offensive
red nigger,English,57 sightings(Recent),Extremely offensive
red niggers(plural ofred nigger),English,16 sightings,Extremely offensive
redlegs,English,68 sightings(Recent),Extremely offensive
redneck,English,"1,675 sightings(Recent)",Highly offensive
rednecks(plural ofredneck),English,"3,689 sightings(Recent)",Moderately offensive
redskin,English,276 sightings(Recent),Extremely offensive
redskins(plural ofredskin),English,155 sightings(Recent),Extremely offensive
reffo,English,160 sightings(Recent),Extremely offensive
retard,English,"1,302 sightings(Recent)",Highly offensive
retarded(variant ofretard),English,"4,003 sightings(Recent)",Moderately offensive
retardeds(plural ofretarded),English,"1,235 sightings(Recent)",-
retards(plural ofretard),English,"2,589 sightings(Recent)",Moderately offensive
rice nigger,English,44 sightings,Extremely offensive
rice niggers(plural ofrice nigger),English,22 sightings,-
ricepicker,English,12 sightings,Highly offensive
ricepickers(plural ofricepicker),English,7 sightings,-
roofucker,English,20 sightings(Recent),Extremely offensive
roofuckers(plural ofroofucker),English,1 sighting,Extremely offensive
roundeye,English,149 sightings(Recent),Highly offensive
roundeyes(plural ofroundeye),English,198 sightings(Recent),-
rube,English,437 sightings(Recent),Moderately offensive
rubes(plural ofrube),English,954 sightings(Recent),Mildly offensive
sambo,English,123 sightings(Recent),Extremely offensive
sambos(plural ofsambo),English,"2,435 sightings(Recent)",-
sand ape(variant ofsand nigger),English,33 sightings(Recent),Extremely offensive
sand apes(plural ofsand ape),English,70 sightings(Recent),-
sand monkey(variant ofsand nigger),English,"1,471 sightings(Recent)",Highly offensive
sand monkeys(plural ofsand monkey),English,"1,151 sightings(Recent)",-
sand nigger,English,"4,699 sightings",Extremely offensive
sand niggerette(variant ofsand nigger),English,1 sighting,Extremely offensive
sand niggerettes(plural ofsand niggerette),English,-,-
sand niggers(plural ofsand nigger),English,866 sightings(Recent),-
sand niglet,English,-,Extremely offensive
sand niglets(plural ofsand niglet),English,6 sightings,-
sand nip,English,1 sighting,Extremely offensive
sand nips(plural ofsand nip),English,2 sightings,-
sandnigger(variant ofsand nigger),English,-,-
saracen,English,-,Highly offensive
sawney,English,76 sightings(Recent),Mildly offensive
sawnies(plural ofsawney),English,1 sighting,-
scag,English,-,Highly offensive
scags(plural ofscag),English,264 sightings(Recent),-
scallie,English,157 sightings(Recent),Extremely offensive
scallies(plural ofscallie),English,635 sightings(Recent),-
scally(variant ofscallie),English,428 sightings(Recent),Extremely offensive
scanger(variant ofspide),English,125 sightings(Recent),Highly offensive
scangers(plural ofscanger),English,37 sightings(Recent),-
scobe,English,234 sightings(Recent),Highly offensive
scobes(plural ofscobe),English,134 sightings(Recent),-
scuffer,English,204 sightings(Recent),Extremely offensive
scuffers(plural ofscuffer),English,-,-
semihole,English,13 sightings,Extremely offensive
semiholes(plural ofsemihole),English,9 sightings,-
seminigger(variant ofsand nigger),English,-,-
seminiggers(plural ofseminigger),English,-,-
senga,English,58 sightings(Recent),Mildly offensive
sengas(plural ofsenga),English,171 sightings(Recent),-
seppo,English,-,Highly offensive
seppos(plural ofseppo),English,"1,134 sightings(Recent)",-
septic(variant ofseppo),English,-,Highly offensive
septics(plural ofseptic),English,-,-
shade,English,-,Highly offensive
shades(plural ofshade),English,-,-
shant,English,-,Highly offensive
shants(plural ofshant),English,158 sightings(Recent),Mildly offensive
shanty Irish,English,709 sightings(Recent),Moderately offensive
sheboon,English,"2,416 sightings(Recent)",Extremely offensive
sheboons(plural ofsheboon),English,"1,580 sightings(Recent)",-
sheenies(plural ofsheeny),English,220 sightings(Recent),-
sheeny,English,179 sightings(Recent),Highly offensive
sheepfucker,English,263 sightings(Recent),Extremely offensive
sheepfuckers(plural ofsheepfucker),English,116 sightings,-
sheister(variant ofshyster),English,5 sightings,Extremely offensive
sheisters(plural ofsheister),English,4 sightings,-
shekelnose,English,-,Extremely offensive
shemale,English,"3,329 sightings(Recent)",Extremely offensive
shemales(plural ofshemale),English,176 sightings(Recent),-
shine,English,-,Extremely offensive
shiner(variant ofshine),English,-,Extremely offensive
shiners(plural ofshiner),English,-,-
shines(plural ofshine),English,-,-
shit heel,English,"1,096 sightings(Recent)",Highly offensive
shit heels(plural ofshit heel),English,-,-
shit kicker,English,-,Highly offensive
shit kickers(plural ofshit kicker),English,-,-
shitskinned,English,-,Extremely offensive
shyster,English,17 sightings,Highly offensive
shysters(plural ofshyster),English,6 sightings,-
sideways cooter(variant ofsideways vagina),English,1 sighting,Extremely offensive
sideways cooters(plural ofsideways cooter),English,3 sightings(Recent),-
sideways pussies(plural ofsideways pussy),English,62 sightings(Recent),Extremely offensive
sideways pussy(variant ofsideways vagina),English,447 sightings(Recent),Extremely offensive
sideways vagina,English,507 sightings(Recent),Extremely offensive
sideways vaginas(plural ofsideways vagina),English,124 sightings,Extremely offensive
skag(variant ofscag),English,-,Moderately offensive
skags(plural ofskag),English,-,Moderately offensive
skanger(variant ofspide),English,414 sightings(Recent),Highly offensive
skangers(plural ofskanger),English,156 sightings(Recent),-
skank,English,1 sighting,Moderately offensive
skeet,English,-,-
skeets(plural ofskeet),English,-,-
skinnie(variant ofskinny),English,-,Extremely offensive
skinnies(plural ofskinny),English,-,-
skinny,English,-,Extremely offensive
slag,English,-,Highly offensive
slags(plural ofslag),English,633 sightings(Recent),Highly offensive
slant,English,-,Extremely offensive
slant eye(variant ofslant),English,"1,568 sightings(Recent)",Extremely offensive
slant eyes(plural ofslant eye),English,956 sightings(Recent),Extremely offensive
slants(plural ofslant),English,-,-
slave,English,-,Extremely offensive
slaves(plural ofslave),English,-,Extremely offensive
slit,English,-,Highly offensive
slits(plural ofslit),English,-,-
slope,English,-,Highly offensive
slopehead(variant ofslope),English,72 sightings,Highly offensive
slopeheads(plural ofslopehead),English,22 sightings,-
slopes(plural ofslope),English,-,Highly offensive
slopey(variant ofslope),English,730 sightings(Recent),Extremely offensive
slopies(plural ofslopey),English,-,-
slopy(variant ofslope),English,-,Extremely offensive
slut,English,572 sightings(Recent),Highly offensive
sluts(plural ofslut),English,608 sightings(Recent),Extremely offensive
smick,English,601 sightings(Recent),Mildly offensive
smicks(plural ofsmick),English,235 sightings(Recent),-
smoke jumper,English,"1,161 sightings(Recent)",Highly offensive
smoke jumpers(plural ofsmoke jumper),English,853 sightings(Recent),-
smoked Irish,English,54 sightings(Recent),Highly offensive
smoked Irishman(variant ofsmoked Irish),English,7 sightings,Extremely offensive
smoked Irishmen(plural ofsmoked Irishman),English,2 sightings,-
snout,English,-,Extremely offensive
snouts(plural ofsnout),English,-,-
snowflake,English,-,Highly offensive
snowflakes(plural ofsnowflake),English,-,-
sole,English,-,Highly offensive
soles(plural ofsole),English,-,-
sooties(plural ofsooty),English,134 sightings(Recent),-
sooty,English,1 sighting,Highly offensive
soup taker,English,369 sightings(Recent),Highly offensive
soup takers(plural ofsoup taker),English,231 sightings(Recent),-
spade,English,-,Extremely offensive
spades(plural ofspade),English,-,-
spaz,English,885 sightings(Recent),Moderately offensive
spear chucker,English,"2,349 sightings(Recent)",Extremely offensive
spear chuckers(plural ofspear chucker),English,816 sightings(Recent),-
sperg,English,"2,421 sightings(Recent)",Moderately offensive
spergs(plural ofsperg),English,"1,292 sightings(Recent)",Mildly offensive
spic,English,761 sightings(Recent),Highly offensive
spice nigger(variant ofnigger),English,10 sightings,Extremely offensive
spice niggers(plural ofspice nigger),English,5 sightings,Extremely offensive
spicish(variant ofspic),English,30 sightings,Extremely offensive
spick(variant ofspic),English,545 sightings(Recent),Extremely offensive
spickaboo,English,-,Extremely offensive
spickaboos(plural ofspickaboo),English,-,-
spickish(variant ofspick),English,6 sightings,Extremely offensive
spicks(plural ofspick),English,543 sightings(Recent),Highly offensive
spiclet(variant ofspic),English,14 sightings(Recent),Highly offensive
spics(plural ofspic),English,"1,565 sightings(Recent)",Highly offensive
spicspeak(variant ofspic),English,1 sighting,Extremely offensive
spide,English,154 sightings(Recent),Extremely offensive
spides(plural ofspide),English,242 sightings(Recent),-
spig(variant ofspic),English,194 sightings(Recent),Extremely offensive
spigger(variant ofspickaboo),English,181 sightings(Recent),Extremely offensive
spiggers(plural ofspigger),English,30 sightings,-
spiggotties(plural ofspigotty),English,-,-
spigotty(variant ofspic),English,35 sightings,Extremely offensive
spigs(plural ofspig),English,23 sightings,-
spik(variant ofspic),English,176 sightings(Recent),Extremely offensive
spike,English,-,Highly offensive
spikes(plural ofspike),English,-,-
spiks(plural ofspik),English,192 sightings(Recent),-
spink,English,42 sightings(Recent),Extremely offensive
spinks,English,16 sightings,Extremely offensive
spiv,English,"1,285 sightings(Recent)",Moderately offensive
spivs(plural ofspiv),English,"1,132 sightings(Recent)",Mildly offensive
spook,English,2 sightings,Extremely offensive
spooks(plural ofspook),English,-,-
squarehead,English,-,Highly offensive
squareheads(plural ofsquarehead),English,-,-
squaw,English,516 sightings(Recent),Extremely offensive
squaws(plural ofsquaw),English,558 sightings(Recent),Extremely offensive
squinties(plural ofsquinty),English,27 sightings,-
squinty,English,-,Extremely offensive
steek(variant ofspide),English,66 sightings(Recent),Extremely offensive
steeks(plural ofsteek),English,93 sightings(Recent),-
stovepipe,English,-,Extremely offensive
stovepipes(plural ofstovepipe),English,-,-
stump jumper,English,135 sightings(Recent),Highly offensive
stump jumpers(plural ofstump jumper),English,176 sightings(Recent),-
sub human,English,-,Extremely offensive
sucker fish,English,-,Highly offensive
suntan,English,-,Highly offensive
suntans(plural ofsuntan),English,-,-
suspook,English,24 sightings,Extremely offensive
taco nigger,English,29 sightings,Extremely offensive
taco niggers(plural oftaco nigger),English,9 sightings,-
tan,English,-,Highly offensive
tans(plural oftan),English,-,Highly offensive
taqiyya,English,226 sightings(Recent),Extremely offensive
tar babies(plural oftar baby),English,867 sightings(Recent),-
tar baby,English,603 sightings(Recent),Extremely offensive
tard(variant ofretard),English,108 sightings(Recent),Highly offensive
tarded(variant ofretarded),English,"1,305 sightings(Recent)",Extremely offensive
tards(plural oftard),English,"1,149 sightings(Recent)",Moderately offensive
teapot,English,-,Highly offensive
teapots(plural ofteapot),English,-,-
tenker(variant oftinker),English,-,Highly offensive
tenkers(plural oftenker),English,1 sighting,-
the goyim know,English,97 sightings(Recent),-
thicklips,English,40 sightings(Recent),Extremely offensive
three fifth,English,-,Extremely offensive
three fifths(variant ofthree fifth),English,-,Extremely offensive
tiger,English,-,Extremely offensive
tigers(plural oftiger),English,-,-
timber nigger,English,23 sightings,Extremely offensive
timber niggers(plural oftimber nigger),English,7 sightings,-
tincker(variant oftinker),English,8 sightings,Extremely offensive
tinckers(plural oftincker),English,-,Extremely offensive
tinkar(variant oftinker),English,10 sightings,Moderately offensive
tinkard(variant oftinker),English,1 sighting,Extremely offensive
tinkards(plural oftinkard),English,-,-
tinkars(plural oftinkar),English,-,Mildly offensive
tinker,English,-,Highly offensive
tinkere(variant oftinker),English,10 sightings(Recent),Extremely offensive
tinkeres(plural oftinkere),English,29 sightings(Recent),-
tinkers(plural oftinker),English,-,Highly offensive
toad,English,-,Highly offensive
toff,English,-,-
toffs(plural oftoff),English,-,-
touch of the tar brush,English,382 sightings(Recent),Extremely offensive
towel head(variant ofraghead),English,667 sightings(Recent),Extremely offensive
towel heads(plural oftowel head),English,"1,663 sightings(Recent)",-
trailer park trash(variant ofwhite trash),English,"4,688 sightings(Recent)",Highly offensive
trailer trash(variant ofwhite trash),English,"5,077 sightings(Recent)",Extremely offensive
trannies(plural oftranny),English,"3,073 sightings(Recent)",Highly offensive
tranny,English,"3,296 sightings(Recent)",Highly offensive
trash(variant ofwhite trash),English,-,Moderately offensive
tree jumper(variant ofstump jumper),English,174 sightings(Recent),Moderately offensive
tree jumpers(plural oftree jumper),English,92 sightings(Recent),Mildly offensive
tree nigger,English,19 sightings,Extremely offensive
tree niggers(plural oftree nigger),English,20 sightings,Extremely offensive
tunnel digger,English,-,Extremely offensive
tunnel diggers(plural oftunnel digger),English,-,-
turkroach,English,-,-
twat,English,-,Mildly offensive
twats(plural oftwat),English,"1,060 sightings(Recent)",Mildly offensive
tyncar(variant oftinker),English,-,Extremely offensive
tyncars(plural oftyncar),English,-,-
tynekere(variant oftinker),English,1 sighting,Extremely offensive
tynekeres(plural oftynekere),English,-,-
tynkard(variant oftinker),English,-,Extremely offensive
tynkards(plural oftynkard),English,-,-
tynkare(variant oftinker),English,-,Extremely offensive
tynkares(plural oftynkare),English,-,-
tynker(variant oftinker),English,318 sightings(Recent),Extremely offensive
tynkere(variant oftinker),English,-,Extremely offensive
tynkeres(plural oftynkere),English,-,-
tynkers(plural oftynker),English,-,-
uncircumcised baboon,English,43 sightings(Recent),Extremely offensive
uncircumcised baboons(plural ofuncircumcised baboon),English,7 sightings,-
velvet mafia(variant ofgay mafia),English,39 sightings(Recent),Mildly offensive
virago,English,47 sightings(Recent),-
wagon burner,English,474 sightings(Recent),Extremely offensive
wagon burners(plural ofwagon burner),English,159 sightings(Recent),-
wapanese,English,92 sightings(Recent),Highly offensive
wegro,English,116 sightings(Recent),Extremely offensive
wegroes(plural ofwegro),English,16 sightings(Recent),-
wetback,English,"4,158 sightings(Recent)",Extremely offensive
wetbacks(plural ofwetback),English,"2,987 sightings(Recent)",-
wexican,English,894 sightings(Recent),Highly offensive
wexicans(plural ofwexican),English,190 sightings(Recent),-
whigga,English,"2,857 sightings(Recent)",Highly offensive
whiggas(plural ofwhigga),English,655 sightings(Recent),Moderately offensive
whigger(variant ofwhite nigger),English,"2,302 sightings(Recent)",Extremely offensive
whiggers(plural ofwhigger),English,632 sightings(Recent),-
white chocolate,English,-,Moderately offensive
white nigger,English,161 sightings,Extremely offensive
white niggers(plural ofwhite nigger),English,137 sightings,-
white trash,English,"1,534 sightings(Recent)",Moderately offensive
whitey,English,872 sightings(Recent),Extremely offensive
whitie(variant ofwhitey),English,8 sightings,-
whities(plural ofwhitey),English,-,Highly offensive
whore,English,964 sightings(Recent),Highly offensive
whores(plural ofwhore),English,"1,393 sightings(Recent)",-
whoriental,English,10 sightings,-
whorientals(plural ofwhoriental),English,5 sightings,-
wigga(variant ofwhite nigger),English,"7,129 sightings(Recent)",Extremely offensive
wiggas(plural ofwigga),English,"5,621 sightings(Recent)",-
wigger(variant ofwhite nigger),English,"5,661 sightings(Recent)",Extremely offensive
wiggerette(variant ofwhite nigger),English,8 sightings,Extremely offensive
wiggerettes(plural ofwiggerette),English,8 sightings,-
wiggers(plural ofwigger),English,"1,003 sightings(Recent)",-
wink,English,-,Highly offensive
winks(plural ofwink),English,-,-
wog,English,371 sightings(Recent),Highly offensive
wogs(plural ofwog),English,"3,275 sightings(Recent)",-
wop,English,458 sightings(Recent),Highly offensive
wops(plural ofwop),English,"2,885 sightings(Recent)",Moderately offensive
wopspeak(variant ofwop),English,-,Extremely offensive
yard ape,English,428 sightings(Recent),Extremely offensive
yard apes(plural ofyard ape),English,375 sightings(Recent),-
yardie,English,"1,895 sightings(Recent)",Highly offensive
yardies(plural ofyardie),English,-,-
yellow,English,-,Extremely offensive
yellow bone,English,"2,164 sightings(Recent)",Moderately offensive
yellow bones(plural ofyellow bone),English,"1,828 sightings(Recent)",-
yellow cab(transliteration ofイエローキャブ),English,-,-
yellow cabs(plural ofyellow cab),English,-,-
yellow invader,English,26 sightings,Extremely offensive
yellow invaders(plural ofyellow invader),English,10 sightings,-
yellowhammer,English,-,-
yellows(plural ofyellow),English,-,Extremely offensive
yid,English,-,Extremely offensive
yids(plural ofyid),English,"2,883 sightings(Recent)",-
yob,English,-,Highly offensive
yobbo(variant ofyob),English,"1,254 sightings(Recent)",Highly offensive
yobbos(plural ofyobbo),English,"1,478 sightings(Recent)",-
yobs(plural ofyob),English,711 sightings(Recent),-
yokel,English,"1,538 sightings(Recent)",Highly offensive
yokels(plural ofyokel),English,"1,431 sightings(Recent)",Moderately offensive
zebra,English,-,Moderately offensive
zebras(plural ofzebra),English,-,Moderately offensive
zhid(variant ofyid),English,93 sightings(Recent),-
zhidovka(variant ofyid),English,4 sightings(Recent),-
zhyd(variant ofyid),English,20 sightings(Recent),-
zhydovka(variant ofyid),English,1 sighting,-
zigabo(variant ofjigaboo),English,20 sightings,Highly offensive
zigabos(plural ofzigabo),English,1 sighting,Moderately offensive
ziojew,English,70 sightings(Recent),Extremely offensive
ziojews(plural ofziojew),English,51 sightings(Recent),-
zip,English,-,Extremely offensive
zipperhead(variant ofzip),English,"1,012 sightings(Recent)",Extremely offensive
zipperheads(plural ofzipperhead),English,298 sightings(Recent),-
zippohead(variant ofzip),English,-,Extremely offensive
zippoheads(plural ofzippohead),English,-,-
zips(plural ofzip),English,-,-
